Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
"Tu Gloria ",Jonathan & Sarah Jerez,Consagración / Entrega,Worship contemporáneo,Nueva,Por entrar,Avanzada,https://music.youtube.com/watch?v=tPBaTvqJjE4&si=8CmxZRHA4ux2qhcS,Yes
Desde mi interior,Hillsong,Consagración / Entrega,Worship contemporáneo,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=3hTY7lYDfpc&si=trkaeCFfY29fQn6_,No
"Todo lo haces bien ",Gateway Worship,"Declaración Doctrinal, Gozo / Celebración",Worship contemporáneo,Conocida,Por practicar,Avanzada,https://music.youtube.com/watch?v=VWMJnlB4VlM&si=Sly50PSGgWBhRfdC,No
"Jesús, eres mi buen pastor ",Coalo Zamorano,Consagración / Entrega,Worship contemporáneo,Dominada,Montada,Básica,https://music.youtube.com/watch?v=xBS2MbcCACw&si=xeMdl4z7-Gx1e_pG,Yes
"Al sea la gloria ",Marco Barrientos,"Consagración / Entrega, Declaración Doctrinal",Balada congregacional,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=cjVdJ9GJqSU&si=Y_XqAqndzebOarfH,Yes
"Portador de tu gloria ",Alejandro del Bosque,"Evangelización / Misión, Gozo / Celebración",Celebración Rítmica,Nueva,Ensamblada,Básica,https://music.youtube.com/watch?v=kBofocE1woA&si=aTP4lPWpm-Asp6DZ,No
"Te pertenezco ",Abel Zabala,"Consagración / Entrega, Exaltación / Gloria",Balada congregacional,Nueva,Por entrar,Básica,https://youtu.be/zxH2TZCZHHM?si=P90UwN2sCNs5wXPh,No
Día en día - Himno 364,Himnario Bautista,"Consagración / Entrega, Declaración Doctrinal",Himno Tradicional,Conocida,Montada,Básica,https://music.youtube.com/watch?v=KKeVMEjx4cA&si=f28JDfFv_YrkwDIR,No
"Contempla a Dios ",IBI,"Declaración Doctrinal, Evangelización / Misión",Worship contemporáneo,Dominada,Montada,Básica,https://music.youtube.com/watch?v=jE9osSKd6Hw&si=Ok7i15o-4rZHcOUg,Yes
"Jesucristo Basta ",Un Corazón,"Declaración Doctrinal, Evangelización / Misión",Worship contemporáneo,Dominada,Montada,Básica,https://music.youtube.com/watch?v=k_TwdkVxYE0&si=ravcYYVCrZSQvvd6,Yes
"Jesús Salva ",Un Corazón,"Declaración Doctrinal, Evangelización / Misión",Worship contemporáneo,Conocida,Por practicar,Intermedia,https://music.youtube.com/watch?v=UqjA4zKS1zA&si=iyUaQReauyUSQOyy,Yes
"Jesús, has mi carácter ",Daniel Calvetti,"Clamor / Intercesión, Consagración / Entrega, Evangelización / Misión",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=wLXKLy_g8Vs&si=yQYxbGzNHrLQk_Qi,Yes
"Al estar ante tí ",Vive La Palabra,Exaltación / Gloria,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=kI_bor25wcM&si=nm96bOL5JJ-iXfY6,Yes
"Queremos Ver ",De hombre a hombre,"Evangelización / Misión, Gozo / Celebración",Celebración Rítmica,Nueva,Por practicar,Básica,https://music.youtube.com/watch?v=ob9MNqrew70&si=LbYw3pSneUcozPMY,No
"Él es El Rey ",Danilo Montero,Exaltación / Gloria,Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=3I0ovvz_l2Y&si=Hw4leFoJX3kHsYOl,No
Alégrense,Marcos Witt,"Declaración Doctrinal, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=kfdGXTzXFRQ&si=PKvPZZpl9nzVrReK,No
"Dios de pactos ",Marcos Witt,Consagración / Entrega,Balada congregacional,Dominada,Montada,Básica,,No
"Preciosa Sangre ",Marco Barrientos,"Confesión / Arrepentimiento, Consagración / Entrega",Worship contemporáneo,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=amfvFqXeIng&si=LFet7u4JM6Zhw-Nu,No
"A tí ",Marcos Witt,"Confesión / Arrepentimiento, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=xGoAEakok-g&si=JOu5yX72OlWwTAbt,Yes
A tí la gloria,IBI,Exaltación / Gloria,Worship contemporáneo,Nueva,Por entrar,Intermedia,https://music.youtube.com/watch?v=JwytTaHToBM&si=QuCurXMHnaGqKQPS,No
No soy yo sino Cristo en mí,Doulos,"Consagración / Entrega, Declaración Doctrinal","Himno Tradicional, Worship contemporáneo",Nueva,Por entrar,Básica,https://music.youtube.com/watch?v=CVSKDxA2ZV0&si=ybmqMkC-0bl4VP3E,No
Dios me ama,Danilo Montero,"Declaración Doctrinal, Evangelización / Misión, Exaltación / Gloria",Balada congregacional,Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=S2VJbU1mIoM&si=_MGOIQTEM7N03n11,No
"Gracias ",Marcos Witt,Acción de Gracias,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=eQ-c1GfY73w&si=SJAv3JmTOJmDr3RF,Yes
Quien sino tú,Santiago Benavides,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Nueva,Por practicar,Básica,https://music.youtube.com/watch?v=50MZCY1Legg&si=JlVVo3zWczJ2NF-f,No
"Solo a tí ",Jaime Murrell,"Clamor / Intercesión, Exaltación / Gloria",Balada congregacional,Nueva,Por entrar,Básica,https://music.youtube.com/watch?v=w2hBiVFJfRI&si=ToCYUjPYzgrA0o-x,No
Señor te adoramos,Santiago Benavides,"Acción de Gracias, Exaltación / Gloria",Balada congregacional,Nueva,Por entrar,Intermedia,https://music.youtube.com/watch?v=z3-v_pAmua0&si=FCnRwHrzqSxQ9CWw,No
