Canción,Artista / Grupo,"Categoría ",Clásicos IBAMI,Complejidad técnica,Dominio de la iglesia,Dominio del equipo,Link,Tipo musical
"Tu Gloria ",Jonathan & Sarah Jerez,Consagración / Entrega,Yes,Avanzada,Nueva,Por entrar,https://music.youtube.com/watch?v=tPBaTvqJjE4&si=8CmxZRHA4ux2qhcS,Worship contemporáneo
Desde mi interior,Hillsong,Consagración / Entrega,No,Básica,Conocida,Ensamblada,https://music.youtube.com/watch?v=3hTY7lYDfpc&si=trkaeCFfY29fQn6_,Worship contemporáneo
"Todo lo haces bien ",Gateway Worship,"Declaración Doctrinal, Gozo / Celebración",No,Avanzada,Conocida,Por practicar,https://music.youtube.com/watch?v=VWMJnlB4VlM&si=Sly50PSGgWBhRfdC,Worship contemporáneo
"Jesús, eres mi buen pastor ",Coalo Zamorano,Consagración / Entrega,Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=xBS2MbcCACw&si=xeMdl4z7-Gx1e_pG,Worship contemporáneo
"Al sea la gloria ",Marco Barrientos,"Consagración / Entrega, Declaración Doctrinal",Yes,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=cjVdJ9GJqSU&si=Y_XqAqndzebOarfH,Balada congregacional
"Portador de tu gloria ",Alejandro del Bosque,"Evangelización / Misión, Gozo / Celebración",No,Básica,Nueva,Ensamblada,https://music.youtube.com/watch?v=kBofocE1woA&si=aTP4lPWpm-Asp6DZ,Celebración Rítmica
"Te pertenezco ",Abel Zabala,"Consagración / Entrega, Exaltación / Gloria",No,Básica,Nueva,Por entrar,https://youtu.be/zxH2TZCZHHM?si=P90UwN2sCNs5wXPh,Balada congregacional
Día en día - Himno 364,Himnario Bautista,"Consagración / Entrega, Declaración Doctrinal",No,Básica,Conocida,Montada,https://music.youtube.com/watch?v=KKeVMEjx4cA&si=f28JDfFv_YrkwDIR,Himno Tradicional
"Contempla a Dios ",IBI,"Declaración Doctrinal, Evangelización / Misión",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=jE9osSKd6Hw&si=Ok7i15o-4rZHcOUg,Worship contemporáneo
Mi Universo,Jesús A. Romero,Consagración / Entrega,No,Básica,Dominada,Ensamblada,https://music.youtube.com/watch?v=jWXm1oZIgYo&si=NsoyJvtf1IpmA7gd,Balada congregacional
"Jesucristo Basta ",Un Corazón,"Declaración Doctrinal, Evangelización / Misión",Yes,Básica,Dominada,Montada,https://music.youtube.com/watch?v=k_TwdkVxYE0&si=ravcYYVCrZSQvvd6,Worship contemporáneo
